codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;277487;04/12/1995;2;1;;;04/12/1995;277487;;1;N;1
8;1;277495;04/12/1995;2;1;;;04/12/1995;277495;;1;N;1
8;1;277509;04/12/1995;2;1;;;04/12/1995;277509;;1;N;1
8;1;277517;04/12/1995;2;1;;;04/12/1995;277517;;1;N;1
8;1;277525;04/12/1995;2;1;;;04/12/1995;277525;;1;N;1
8;1;277533;04/12/1995;2;1;;;04/12/1995;277533;;1;N;1
8;1;277550;04/12/1995;2;1;;;04/12/1995;277550;;1;N;1
8;1;277568;04/12/1995;2;1;;;04/12/1995;277568;;1;N;1
8;1;277576;04/12/1995;2;1;;;04/12/1995;277576;;1;N;1
8;1;277584;04/12/1995;2;1;;;04/12/1995;277584;;1;N;1
8;1;277592;04/12/1995;2;1;;;04/12/1995;277592;;1;N;1
8;1;277606;04/12/1995;2;1;;;04/12/1995;277606;;1;N;1
8;1;277614;04/12/1995;2;1;;;04/12/1995;277614;;1;N;1
8;1;277622;04/12/1995;2;1;;;04/12/1995;277622;;1;N;1
8;1;277631;04/12/1995;2;1;;;04/12/1995;277631;;1;N;1
8;1;277649;04/12/1995;2;1;;;04/12/1995;277649;;1;N;1
8;1;277657;04/12/1995;2;1;;;04/12/1995;277657;;1;N;1
8;1;277665;04/12/1995;2;1;;;04/12/1995;277665;;1;N;1
8;1;277673;04/12/1995;2;1;;;04/12/1995;277673;;1;N;1
8;1;277690;04/12/1995;2;1;;;04/12/1995;277690;;1;N;1
8;1;277703;04/12/1995;2;1;;;04/12/1995;277703;;1;N;1
8;1;277720;04/12/1995;2;1;;;04/12/1995;277720;;1;N;1
8;1;277738;04/12/1995;2;1;;;04/12/1995;277738;;1;N;1
8;1;277746;04/12/1995;2;1;;;04/12/1995;277746;;1;N;1
8;1;277754;04/12/1995;2;1;;;04/12/1995;277754;;1;N;1
8;1;277762;04/12/1995;2;1;;;04/12/1995;277762;;1;N;1
8;1;277771;04/12/1995;2;1;;;04/12/1995;277771;;1;N;1
8;1;277789;04/12/1995;2;1;;;04/12/1995;277789;;1;N;1
8;1;277797;04/12/1995;2;1;;;04/12/1995;277797;;1;N;1
8;1;277801;04/12/1995;2;1;;;04/12/1995;277801;;1;N;1
8;1;277819;04/12/1995;2;1;;;04/12/1995;277819;;1;N;1
8;1;277827;04/12/1995;2;1;;;04/12/1995;277827;;1;N;1
8;1;277835;04/12/1995;2;1;;;04/12/1995;277835;;1;N;1
8;1;277843;04/12/1995;2;1;;;04/12/1995;277843;;1;N;1
8;1;277860;04/12/1995;2;1;;;04/12/1995;277860;;1;N;1
8;1;277878;04/12/1995;2;1;;;04/12/1995;277878;;1;N;1
8;1;277886;04/12/1995;2;1;;;04/12/1995;277886;;1;N;1
